Drug_ID,Partition_Coefficient_LogP,pKa,Total_Body_Clearance_CLT,Molecular_Weight,Protein_Binding_Percent,IC50_Sodium_Channel_Inhibition,ALT_Level
Drug_1,0.6217808319315372,4.2959305018703375,2.6908862689854693,401.8108982626694,60.90763316723976,227.13598412484893,165.58166897867727
Drug_2,4.655000144869414,6.793306631648507,2.5450901108127986,439.0044191574117,81.68347730769878,263.0460467187596,51.372726905239894
Drug_3,3.1239575926798357,9.110620851134858,9.071920347158263,275.1403696377497,77.65432275132416,434.54632694098115,219.37469520515558
Drug_4,2.190609389379256,8.125574204866929,2.5705073785101105,387.4622298820997,23.697091517745857,203.00197372695146,157.14789737661795
Drug_5,-0.9078695169029443,8.645928035030149,2.792302288673447,371.5237949431246,23.283202806991177,441.3423581654771,47.72893205366902
Drug_6,-0.9080383576465816,7.611483566975021,7.61804279793784,449.8491130364813,33.86751872929729,89.66049393951117,240.96113379548964
Drug_7,-1.5934147148226039,7.845935951624967,4.552424440260346,471.82611814437814,42.13565064435231,399.5592967438838,134.40771120047697
Drug_8,4.063233020424546,8.944369560957234,7.7894345138562935,203.64703144321604,46.35254674535495,431.3964348746314,27.4956284491972
Drug_9,2.2078050822024613,4.7476760620143015,0.7471249598874139,402.2059757176378,70.49305229816773,131.81794377680245,160.43989705961613
Drug_10,2.9565080445723186,6.425974745501984,4.9269548173665045,215.5507397359187,15.044558462759351,243.6559395674902,70.76773768307446
Drug_11,-1.8559085399293829,4.548466092737216,0.4327746418144981,364.6575995232068,13.085870676119908,124.47489859864503,202.8864284505526
Drug_12,4.78936896513396,9.913676055976529,0.7202667142080098,286.28981871310344,44.880040102007904,367.971858047398,206.27729765588575
Drug_13,3.827098485602952,9.608415377806292,9.073730788109668,292.0329798566423,72.04756860028026,290.9064956277455,244.94736540511886
Drug_14,-0.5136262252520669,3.2759876795795413,1.4785291740641922,305.88755103570696,27.215745523126948,335.89550601874447,130.4486874458809
Drug_15,-0.7272252295502957,7.939026207609819,5.370964754524649,386.38773471488304,67.0938988318064,138.41913513029502,119.18965113465691
Drug_16,-0.7161684310259633,9.47673822190966,4.1698464657469945,300.2149897006308,33.12470427668666,145.28563792358878,190.83414530715535
Drug_17,0.12969570071676406,4.264027415891334,3.5386989299625426,419.8097151770841,88.86166368440296,68.67379647945786,41.79295752206237
Drug_18,1.6732950214256648,6.975616613868406,9.008350122303998,321.3582156721609,89.71640503972887,194.93039083807838,141.2597233103498
Drug_19,1.0236151304948105,9.408418083116292,0.3160516280773461,220.50596009298758,36.45856118103806,301.8850976001537,141.09942403140423
Drug_20,0.038603981386293285,3.237621850100592,6.671517893138332,435.12795274523216,30.469444102728406,436.07071129879796,31.473549474492934
Drug_21,2.282970263056656,7.881941870727879,9.63760489871415,285.7274973778118,46.60605351389458,350.11735135640635,110.31618052165926
Drug_22,-1.0235429754357073,5.081443051607856,5.645665016272235,329.8300638797788,31.407311081033235,245.92834552988813,214.78835165612847
Drug_23,0.0450125397465273,9.470773367635712,9.374542374127609,405.63316496657046,69.84216205296163,478.90405147736203,215.47686927871845
Drug_24,0.5645329030558419,9.797407716157574,0.6173530049316353,299.7368471446136,83.5197569247974,373.6603402591243,33.81703958072344
Drug_25,1.1924898895192513,9.609865423794037,4.246053858834197,216.9756968440147,69.90519965109831,468.5743412881475,31.773011859479404
Drug_26,3.496231729751095,6.319499516602246,2.6755621305243067,312.1763141038441,83.3671898051921,287.4145879724746,73.04691448046447
Drug_27,-0.6022835248914817,9.034298556925194,7.335127553309225,483.33457480829105,45.3323024364652,166.50692365691282,219.94385501295844
Drug_28,1.5996410688952811,8.911845789745492,9.814841195922742,392.52031918956743,23.912210393088614,73.7720088641249,40.936620417639745
Drug_29,2.146901982034297,5.233703312702789,2.6396476181980533,401.44374460016206,75.6776343183857,376.7381831677327,182.7992326305871
Drug_30,-1.674847110960016,8.802408319054742,6.576328554593337,389.68464609129194,42.0822309575983,104.58634910249035,34.279748707144776
Drug_31,2.252813963310069,3.2590534430084483,2.0611665643214274,259.69764168783104,69.74310344539279,186.24880772238524,159.55308489947808
Drug_32,-0.8063311341889592,7.1738891493743715,5.696769520258938,325.50015923068406,34.08731083637714,289.61190854775384,95.45615178859475
Drug_33,-1.5446388491030434,4.6100618610139215,4.692931618214528,425.2819395089955,17.229437497793867,303.98746450088646,199.33935111180807
Drug_34,4.642198760773333,3.8439682004409517,9.722852763352217,230.41186926594776,98.33977979841094,320.2624386442112,66.08570771808726
Drug_35,4.7594242315219155,3.5386724114044643,6.124419999695019,283.3558328269137,23.901934205823338,124.81489865736529,163.40843905359037
Drug_36,3.658781436815228,7.8740214311469785,3.5601130836595063,282.89573253975607,97.96946846274982,220.88183216974193,66.5638082982124
Drug_37,0.1322963842135949,5.379124746376463,1.2295482703905405,329.6056782783518,96.97791399841381,327.737402202635,181.27846794691692
Drug_38,-1.316295201955313,8.07336740070133,1.5973436044758522,494.1106222826555,80.64981124781553,486.41848908520313,219.6827282945797
Drug_39,2.7896311855850984,3.4574943855925966,2.3306376065172274,220.25076400514658,68.68864362529779,377.4340119648599,40.43243179042241
Drug_40,1.081067456177209,5.207032364814273,2.5845699472689505,355.6102983141785,61.424827472346536,465.171690692281,217.98296526292086
Drug_41,-1.1457323560865482,6.7764390466273605,8.521098972627264,253.80940460366313,87.08303753862728,392.9954262413797,152.45806105943151
Drug_42,1.4662383707788913,8.535062153872744,5.656105603996997,491.2029636229232,35.76011742413443,316.2726360015802,40.50651780808575
Drug_43,-1.7592803521934712,5.231267520524489,5.281570022606227,233.99105141823927,51.62362791115406,136.41051611135504,112.61004528633089
Drug_44,4.365242814551475,7.381239635059064,1.236211831505253,321.08030070847735,65.12570727361867,350.00854335163086,48.60647043642349
Drug_45,-0.18854012879988158,9.20184423765331,8.615382964159407,421.36549545038184,46.59595235238471,330.52080468195817,178.08349332797667
Drug_46,2.6376559904778736,7.311042317276132,7.255861601763988,411.3663284082336,48.04629441403385,321.1111267057699,192.1283522603079
Drug_47,0.18197753262587657,4.630716323275436,0.7699167828100156,326.81859106817967,39.39533540768551,270.40364059470835,35.39116486547175
Drug_48,1.6404761482446757,3.170805470895766,7.10756746257471,303.9572503858155,60.216631684923705,287.895471795174,131.47356464671464
Drug_49,1.8269719554029575,9.09069211730651,5.481028351692196,319.28371356586115,85.70113299334533,200.49913720314683,205.5100134462201
Drug_50,-0.7060188113213108,3.14888587595271,0.9090809228931047,279.28287894759177,27.936025642561845,283.69071168903645,234.67912997223917
Drug_51,4.78709239435191,9.122911708789395,4.637176351133699,261.59988161203995,93.16454044905629,138.90015755531522,133.2442880180248
Drug_52,3.425929763527802,6.702559938190484,4.898493242587465,344.911909267667,71.32880118359245,412.3284788121695,238.0670136667377
Drug_53,4.576492590949324,9.573473889590273,1.7411679476164301,280.5601268202822,83.27131592852268,133.59962961441852,138.56535290944714
Drug_54,4.263791452993542,8.591482650415657,9.462411655302795,286.23849946917505,59.500971644071036,88.23483045025989,104.60571870397791
Drug_55,2.1852998516775957,9.985538773733362,8.514756177658553,397.02681904236715,79.37698642674165,246.31071186072083,213.5687508526949
Drug_56,4.453119645161818,5.454982708161971,6.7233211395581725,490.56119950996765,11.441835363212581,346.2383477777278,128.31585050994136
Drug_57,-1.3805524856365636,8.370318022517889,4.676726053906011,381.0911601678125,82.83585780537864,246.9725712200936,123.25660253548553
Drug_58,-0.6281199630659837,5.8135163952646955,4.176478861686634,223.09384011948987,13.57235845859762,174.53935937808888,127.67499745835879
Drug_59,-1.6834089776262335,6.359129342127362,6.544637324794446,222.6750841562201,89.20229049629476,301.17703275069834,213.22840044873888
Drug_60,0.2773123153428503,7.392538242528591,5.499775507128364,485.4269662536698,98.28468450423925,206.15105093548996,209.66597000513252
Drug_61,0.720741027826374,9.115739799304372,0.7165037482306675,289.1872370922001,36.172004133733225,469.7904605569849,106.84479818565069
Drug_62,-0.10055677758272852,9.888584284395066,5.173776222826284,227.62009582474263,28.718351509435635,465.19031282160745,89.991966368926
Drug_63,3.801162564063505,8.377913897051627,8.083395810605111,379.71337614511447,78.11733938336562,276.06731898744295,128.06272576939102
Drug_64,0.49727328685512484,5.924367475171336,4.6464747882098845,387.0946334870798,32.51934434190254,197.54779730821633,147.46540233690615
Drug_65,-0.033458432188334664,5.949499015939491,0.6143701177872573,394.55144603560643,87.0350521023261,381.7095862804876,67.20093055071928
Drug_66,1.7988725821077391,8.16307611112224,7.884154173901927,280.2206083572624,19.152990702015426,66.52082456737999,200.54922033174174
Drug_67,-1.0135304251766615,4.671440020378117,2.0935014431461467,204.5332052643425,21.210012477762884,263.6460527196431,126.75586377578149
Drug_68,3.6153788652782772,3.7733187919197624,2.660346265391584,489.50461083634156,97.14448840395478,201.34552742165008,90.1709316207903
